N ,375
"e""",371
(2,369
.«,369
jl,369
ui,369
-j,368
L ,366
"4,",359
",""",358
He,357
pš,357
bš,355
lp,355
Or,354
sj,352
TV,351
We,351
Us,350
(v,349
It,349
	H,348
Fe,346
td,345
Is,343
dš,342
Wi,340
"9,",337
U ,337
"b,",337
lf,335
v),335
dc,334
Un,333
mš,333
 …,333
AN,332
 w,330
RA,330
"5,",329
Ap,328
ey,327
zz,327
gh,324
Šp,323
(S,322
AR,322
UR,321
TA,318
v:,316
bt,315
ww,315
S),314
a-,314
Ĺˇ,314
DA,313
zš,311
NA,310
"i""",310
"6,",309
",5",307
-l,307
0-,307
Ok,307
"7,",306
ER,306
cc,306
ty,306
ft,305
"8,",304
wa,303
(k,300
ZD,300
np,300
ew,299
Du,298
Im,295
vb,293
SI,291
IN,290
-t,289
NI,289
cn,289
ex,287
wi,287
.3,285
Bu,285
Og,285
"o""",284
Pu,283
ly,283
tc,283
El,281
Ot,281
cr,281
mv,281
II,279
” ,279
Zn,276
žr,276
Hi,275
m),275
«.,272
Sm,271
Ge,268
dž,268
pm,267
ye,267
ÄŤ,267
",0",266
jč,266
".,",265
EK,265
iu,265
"z,",264
(t,262
 X,261
IT,261
Ml,261
 Y,260
 €,259
Kd,258
b.,258
i;,258
we,258
mč,257
.4,256
Zv,255
RE,254
i-,254
lv,254
€ ,254
Ol,253
Ži,252
(o,250
0%,250
IS,250
ii,250
TO,248
 %,247
cv,247
",«",246
EN,246
"p,",246
DV,245
S.,245
Šk,245
LE,242
MA,242
w ,242
Ža,242
š.,240
žg,238
LA,235
RI,234
Ad,232
I.,231
Wa,227
MS,224
0),223
PO,223
! ,222
Sh,222
US,222
ć ,222
/ ,221
Zg,221
KA,220
"""p",218
KO,218
VI,218
Vz,218
"«,",218
.5,217
AT,217
OR,217
SL,216
lz,216
nl,216
 /,215
-s,215
ES,215
Iv,215
(i,214
NO,213
X ,212
sf,212
OS,211
Iš,211
"S,",211
-o,209
rf,209
EL,208
RT,208
1),207
-2,206
DD,206
SM,205
fs,205
RO,203
a«,203
(b,199
ff,199
Sc,198
Zo,198
Ed,197
u:,197
ON,196
TE,194
pd,194
 —,193
LO,192
Vč,192
Vp,190
-m,189
n),189
Ak,188
— ,188
-k,187
AL,187
OP,187
(z,186
'',185
On,185
PS,185
m:,185
2),184
yj,184
t),183
 Q,182
m-,182
G ,181
VE,181
nž,181
PR,180
Ac,179
F ,179
uf,179
/1,178
Hu,178
TI,178
-i,177
k:,177
",k",176
SS,176
s),176
(m,175
Gi,175
Ig,175
LI,175
SA,175
a;,175
by,175
qu,175
"""P",174
gm,174
OV,173
SP,173
j:,173
ph,173
pp,173
t:,173
Žu,173
 x,172
DE,172
Čr,172
ED,170
ZE,170
u?,167
"y,",167
? ,166
i«,166
"""N",165
(d,165
AM,165
Cr,165
OL,165
s:,165
-n,164
Cl,164
P.,164
ax,163
ya,163
Er,162
JA,162
mc,162
ny,162
IP,161
PP,161
w.,161
èe,161
SE,159
aa,158
",9",157
",d",157
DI,157
MO,157
NK,157
Yo,157
ZS,157
oè,157
